Modelo;Aumento;N_Features;Acurácia;Precisão;Recall;F1-Score;Brier;AUC;Tempo (s);Emissoes (g);Energia (kWh);RGA;CPU;GPU
RandomForest;+10%;114;0.6901122423776723;0.6982561894510226;0.7910345836788449;0.7417554772903993;0.20003427341279642;0.740900034999165;7.763898611068726;0.012508134575;0.000121188415;0.018124782907640073;;
LightGBM;+10%;114;0.6925821235489448;0.6769283458274667;0.8677137700599971;0.7605386917486106;0.2000520084497388;0.7417702856654508;1.7828195095062256;0.002859361659;2.7703692e-05;0.004128552501973333;;
RNA;+10%;114;0.6836356650841132;0.675934277087173;0.8407882542315009;0.749402199904352;0.20879168808460236;0.7222830472740176;180.60579824447632;0.291329252981;0.00282262157;0.42614694911383155;;
RandomForest;+20%;124;0.6962869453058537;0.7023538017987004;0.797284095349746;0.7468143030358491;0.19791920134410323;0.74673457024848;10.714599609375;0.017265611498;0.000167282506;0.02479668994858986;;
LightGBM;+20%;124;0.6976591015121162;0.680597471062383;0.8702618210238374;0.7638320221226608;0.19756224248167634;0.7492472614054294;1.8310809135437012;0.002938639184;2.8471794e-05;0.004212141972534654;;
RNA;+20%;124;0.686242761876012;0.6808016962035445;0.8312817506838609;0.7485539598407707;0.20415547490119934;0.7313641882597198;181.90154480934143;0.293419887292;0.002842877241;0.4275744730477961;;
RandomForest;+30%;134;0.6941189384999589;0.7026841314150741;0.7948506193830459;0.7459311602461819;0.1990358620647597;0.7437315421241661;11.571032047271729;0.018646069978;0.000180657448;0.026862932191845254;;
LightGBM;+30%;134;0.6971925684019868;0.681930740218675;0.8695652173913043;0.7644019302216338;0.19786709042376985;0.7501929649587584;1.8855481147766113;0.003013188666;2.9194086e-05;0.004321888675472309;;
RNA;+30%;134;0.6820439638848487;0.6783039429363978;0.8315278115132378;0.7471409864687909;0.20594273507595062;0.7275065826406792;189.79644298553467;0.306156667585;0.002966280951;0.44888113346999614;;
RandomForest;+40%;145;0.6957929690715992;0.7068494339131567;0.7901755406847056;0.7461934745277619;0.19867062457501275;0.7449400339091972;14.373669147491455;0.023169613912;0.000224485016;0.03329958039517898;;
LightGBM;+40%;145;0.6979060896292434;0.6841198100199173;0.8661138589855494;0.764433982452386;0.19767451000666264;0.7495453834381941;2.253694772720337;0.003616939853;3.5043691e-05;0.005182559525911958;;
RNA;+40%;145;0.6849803781662505;0.6836460049009762;0.8252351857239841;0.747797429418873;0.20658202469348907;0.7278414220321192;183.04026985168457;0.295260659878;0.00286071206;0.43104980710314267;;
RandomForest;+50%;155;0.690633661736052;0.700572072462512;0.7874226703687467;0.7414627433892164;0.1998612597613668;0.739678086883515;16.93785810470581;0.027308181677;0.000264582639;0.039540762621322535;;
LightGBM;+50%;155;0.6981530777463707;0.6827911615774129;0.867017390033611;0.7639547610361183;0.19725997070889242;0.7500479231920969;0.9589240550994873;0.001534736253;1.4869704e-05;0.0021982804372274764;;
RNA;+50%;155;0.6760339197014188;0.6657924743443557;0.8532807248282916;0.7479664382245564;0.2086644470691681;0.7194998312852579;187.11483573913574;0.301824675011;0.00292430928;0.44646380339067265;;
