Modelo;Redução;N_Features;Acurácia;Precisão;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissoes (g);RGA;CPU;GPU
RandomForest;-0%;39;0.9448423036632904;0.2900763358778626;0.002693316322914452;0.0053370786516853935;0.049895946509028746;0.7473756731562566;32.45933127403259;0.069216716409;0.000670624713;0.07325742734066497;;
LightGBM;-0%;39;0.9450564856244962;0.0;0.0;0.0;0.04785609914726421;0.8126237569606221;1.000878095626831;0.000575152866;5.572523e-06;0.0006085909940292481;;
RNA;-0%;39;0.9450564856244962;0.0;0.0;0.0;0.05192478746175766;0.5;307.9944839477539;0.896167951984;0.008682763457;0.9482691940808273;;
RandomForest;-10%;36;0.9448851400555316;0.3472222222222222;0.0035438372669927;0.007016066792955869;0.04987897637464795;0.7518651394186866;27.854440927505493;0.051824734866;0.000502117837;0.054847655729832114;;
LightGBM;-10%;36;0.9450564856244962;0.0;0.0;0.0;0.04789537715399093;0.811564011738132;0.9090659618377686;0.000534921899;5.182734e-06;0.0005660210867147502;;
RNA;-10%;36;0.9450564856244962;0.0;0.0;0.0;0.05191668123006821;0.5014174928507265;313.006551027298;0.89376470029;0.008659478908;0.945726222596523;;
RandomForest;-20%;32;0.9449396591002021;0.38461538461538464;0.0035438372669927;0.007022965095863473;0.04994946603788035;0.7465821838946326;19.995131254196167;0.036175575622;0.000350496763;0.0382834769115812;;
LightGBM;-20%;32;0.9450564856244962;0.0;0.0;0.0;0.047901133804864;0.8114978842621832;0.837066650390625;0.000533771351;5.171587e-06;0.0005648036483737607;;
RNA;-20%;32;0.9450564856244962;0.0;0.0;0.0;0.051888592541217804;0.5066218343346437;309.567351102829;0.888937284742;0.008612707199;0.9406181516807299;;
RandomForest;-30%;28;0.9447527366613316;0.29473684210526313;0.003969097739031824;0.007832715574515701;0.050033252290340745;0.7495741964497434;22.082862377166748;0.039266271837;0.000380441802;0.041562485413657924;;
LightGBM;-30%;28;0.9450564856244962;0.0;0.0;0.0;0.047901133804864;0.8114978842621832;0.779473066329956;0.000482833492;4.678062e-06;0.0005109043738067595;;
RNA;-30%;28;0.9450564856244962;0.0;0.0;0.0;0.05010995268821716;0.7300150752788857;307.2675678730011;0.871511825288;0.008443875963;0.9221796141762916;;
RandomForest;-40%;24;0.9447371597914257;0.27956989247311825;0.0036855907576724078;0.0072752710738020285;0.04994579681963586;0.752507026913734;20.191562175750732;0.036443939312;0.000353096876;0.03857574451717968;;
LightGBM;-40%;24;0.9450564856244962;0.0;0.0;0.0;0.0479011339430116;0.8114978705355491;0.794144868850708;0.000491523948;4.762262e-06;0.0005201000738862709;;
RNA;-40%;24;0.9450564856244962;0.0;0.0;0.0;0.05193367972970009;0.4999958793812479;313.076783657074;0.899508561024;0.008715129843;0.9518040188143908;;
RandomForest;-50%;20;0.9448267267933845;0.365296803652968;0.00567013962718832;0.011166945840312675;0.049968335685008;0.7528799472916406;21.491552114486694;0.041606348642;0.000403114263;0.04403595650094106;;
LightGBM;-50%;20;0.9450564856244962;0.0;0.0;0.0;0.04790113405655776;0.811497895944425;0.7811932563781738;0.000456877946;4.426584e-06;0.00048343982920565185;;
RNA;-50%;20;0.9450564856244962;0.0;0.0;0.0;0.051925018429756165;0.49999793969062395;312.15910267829895;0.902475135298;0.008743872293;0.954943063219805;;
