Modelo;Aumento;N_Features;Acuracia;Precisao;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissoes (g);RGA
RandomForest;+10%;43;0.9553223993312772;0.9694289820542062;0.9404124940881331;0.9547003122964646;0.04181848815391605;0.9887093135015386;90.28825163841248;0.0008545021806835194;0.08403858046586277;0.08796881610301352
LightGBM;+10%;43;0.8982277198776204;0.9237664826270704;0.8683720260739035;0.8952131414434983;0.08012595079066563;0.963139723175154;3.0908098220825195;4.193146972987726e-05;0.004123876184993969;0.004591125494942228
RNA;+10%;43;0.9189544206118154;0.9507393956551935;0.883909440480352;0.916107225213014;0.058120135217905045;0.9753568539247337;666.5109181404114;0.006306492834463424;0.620230957283809;0.6749311427990908
RandomForest;+20%;47;0.9544473771983645;0.9663351315616617;0.9414516328805582;0.9537311029459433;0.04345945547773006;0.9886505377607144;100.10563278198242;0.0009969178086365331;0.09804487264378577;0.10272423078114754
LightGBM;+20%;47;0.8991974502884484;0.9222161047314421;0.8713554353660047;0.896064636926774;0.0793374495079972;0.9638606865167074;3.842691659927368;5.188757081663529e-05;0.0051030388146744475;0.005675103741717097
RNA;+20%;47;0.9166505388077463;0.948643130696249;0.8805292927624788;0.9133180166542121;0.0599706806242466;0.9737344711020443;640.0280961990356;0.005445788574789765;0.5355824147534238;0.5842820050594595
RandomForest;+30%;51;0.9548385635636666;0.967349549145091;0.9413660643629649;0.9541809492178279;0.04253509353471882;0.9887397460792199;106.38995957374573;0.0008881984902664571;0.08735254512072552;0.09148409841628798
LightGBM;+30%;51;0.8989997982301905;0.9194650070211328;0.8743982458454234;0.8963655261579023;0.07902126205556984;0.9642597537234533;3.1625490188598633;3.787239749199319e-05;0.0037246745485425463;0.004143131684651209
RNA;+30%;51;0.9181823422592453;0.9546361073639016;0.8779304603007122;0.9146779516181324;0.058937110006809235;0.9744980872168475;641.0296432971954;0.005237791600328743;0.5151263283091313;0.5610283541737806
RandomForest;+40%;55;0.9547129721516485;0.9666237358275447;0.9420089463916084;0.9541576180968617;0.04222157939550497;0.9886792079025619;118.37426114082336;0.0011082798651844584;0.10899710818116112;0.11416741089786701
LightGBM;+40%;55;0.8971838699449457;0.9205567778334459;0.86953659008325;0.8943196102747293;0.080193633608808;0.9629848994832518;3.6570756435394287;5.141650956480429e-05;0.005056710882679373;0.0056362035164427005
RNA;+40%;55;0.9145443090619351;0.9633371811203959;0.8620017036826706;0.9098565732206305;0.060981474816799164;0.9739761061109985;653.3659551143646;0.005751970311024009;0.5656947761485892;0.6185537108954653
RandomForest;+50%;59;0.9553697534702348;0.9669355145359523;0.9429328345295286;0.9547833451188249;0.04161763340026967;0.9887816691356348;119.5374550819397;0.0009943251135717604;0.0977898862695555;0.10235815600645579
LightGBM;+50%;59;0.8980218323169351;0.9219978068163449;0.8694883690269206;0.8949735477783315;0.07929636197570941;0.9636951722264522;3.5116608142852783;4.396524974920522e-05;0.004323894382334835;0.004814910090970729
RNA;+50%;59;0.9173114378775463;0.9569515507548481;0.8738391687335711;0.9135088338918225;0.059271953999996185;0.9744757121597266;644.1376917362213;0.005286144716211636;0.5198817605499819;0.5667450977749412
