Modelo;Redução;N_Features;Acurácia;Precisão;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissões (gCO₂eq);RGA
RandomForest;-0%;14;0.68;0.7065637065637066;0.9014778325123153;0.7922077922077922;0.2137518518518519;0.6279772484891575;0.1465909481048584;1.8481040020835357e-06;0.0006454064;0.0009491270588235293
LightGBM;-0%;14;0.7;0.7164750957854407;0.9211822660098522;0.8060344827586207;0.2035606726250389;0.678330201614951;0.07045888900756836;8.275696854162284e-07;0.000289009;0.00041287
RNA;-0%;14;0.7066666666666667;0.7075812274368231;0.9655172413793104;0.8166666666666667;0.20180403520858137;0.6798029556650246;4.950056552886963;7.164403238680565e-05;0.0250199738;0.0354056233018868
RandomForest;-10%;13;0.6766666666666666;0.7137096774193549;0.8719211822660099;0.7849223946784922;0.21508518518518518;0.6349093494489869;0.0995490550994873;1.235762334029289e-06;0.0004315606;0.0006377742857142857
LightGBM;-10%;13;0.7;0.7116104868913857;0.9359605911330049;0.8085106382978723;0.20488527607467616;0.6674115077954396;0.05306100845336914;4.0406164236199203e-07;0.0001411089;0.00020158414285714285
RNA;-10%;13;0.7033333333333334;0.7126865671641791;0.9408866995073891;0.8110403397027601;0.20408112926347205;0.6480117820324006;5.156151533126831;7.505089055625058e-05;0.026209738;0.03726503033175355
RandomForest;-20%;12;0.6733333333333333;0.7091633466135459;0.8768472906403941;0.7841409691629956;0.21103703703703705;0.6552993753491443;0.12617778778076172;1.4661455236118099e-06;0.0005120164;0.000760420396039604
LightGBM;-20%;12;0.6933333333333334;0.7142857142857143;0.9113300492610837;0.8008658008658008;0.2027011688086727;0.6796252094865675;0.041707515716552734;3.856772548620787e-07;0.0001346886;0.00019426240384615384
RNA;-20%;12;0.71;0.7116788321167883;0.9605911330049262;0.8176100628930818;0.2042649196143395;0.6493321822152253;6.212438106536865;9.020832110763735e-05;0.03150311;0.04437057746478874
RandomForest;-30%;10;0.68;0.720164609053498;0.8620689655172413;0.7847533632286996;0.21134444444444445;0.6453455893555431;0.10675239562988281;1.3705425701387083e-06;0.0004786294;0.0007038667647058823
LightGBM;-30%;10;0.6866666666666666;0.7104247104247104;0.9064039408866995;0.7965367965367965;0.20580864558623085;0.6675638616626886;0.050641536712646484;4.135482069448434e-07;0.0001444219;0.00021032315533980582
RNA;-30%;10;0.7033333333333334;0.7035714285714286;0.9704433497536946;0.8157349896480331;0.20066075081740536;0.6664973845919454;4.207571983337402;6.113194761666753e-05;0.0213488783;0.030353855402843598
RandomForest;-40%;9;0.6666666666666666;0.710204081632653;0.8571428571428571;0.7767857142857143;0.21776666666666666;0.6370169112792647;0.11828923225402832;1.4436233722220337e-06;0.0005041511;0.00075622665
LightGBM;-40%;9;0.71;0.7265625;0.916256157635468;0.8104575163398693;0.20109920230578035;0.6803361942003963;0.03605365753173828;3.872398243061071e-07;0.0001352343;0.00019047084507042253
RNA;-40%;9;0.7066666666666667;0.7046263345195729;0.9753694581280788;0.8181818181818182;0.20050856473288198;0.6738103702198974;4.532384872436523;6.583089111805738e-05;0.0229898725;0.03253283844339623
RandomForest;-50%;7;0.6466666666666666;0.702928870292887;0.8275862068965517;0.7601809954751131;0.24375524444349778;0.5969986288151947;0.14161396026611328;1.9693814951382807e-06;0.0006877596;0.0010635457731958764
LightGBM;-50%;7;0.6733333333333333;0.6966292134831461;0.916256157635468;0.7914893617021277;0.20973381928344192;0.641663704230359;0.5205423831939697;4.413046569431521e-07;0.0001541152;0.00022888396039603962
RNA;-50%;7;0.6866666666666666;0.6912280701754386;0.9704433497536946;0.8073770491803278;0.20259917497371963;0.6767812706312528;5.682228326797485;8.262897434583148e-05;0.0288562034;0.04202359718446602
