Modelo;Alteracao;N_Features;Acuracia;Precisao;Recall;F1-Score;Brier;AUC;Tempo (s);Emissoes (g);Energia (kWh);RGA (kg/ac);CPU;GPU
RandomForest;-0%;14;0.67;0.703125;0.8866995073891626;0.7843137254901961;0.2182888888888889;0.6183281702300544;0.09995007514953613;0.000146517827;1.419577e-06;0.00021868332388059702;;
LightGBM;-0%;14;0.6833333333333333;0.7061068702290076;0.9113300492610837;0.7956989247311828;0.20258196948622464;0.685643187242903;0.37134265899658203;0.000587497838;5.69213e-06;0.0008597529336585365;;
RNA;-0%;14;0.7033333333333334;0.708029197080292;0.9556650246305419;0.8134171907756813;0.19932912290096283;0.6851861256411558;4.0157530307769775;0.00646540428;6.2641803e-05;0.009192517933649289;;
RandomForest;-10%;13;0.66;0.6980392156862745;0.8768472906403941;0.777292576419214;0.23264074074074073;0.5826519729825809;0.08039569854736328;0.00011056077;1.071198e-06;0.00016751631818181817;;
LightGBM;-10%;13;0.6966666666666667;0.7153846153846154;0.916256157635468;0.8034557235421166;0.204657518944978;0.6640851150271698;0.026319026947021484;3.088017e-05;2.99191e-07;4.43256028708134e-05;;
RNA;-10%;13;0.69;0.6992753623188406;0.9507389162561576;0.8058455114822547;0.2100980132818222;0.6232288862932305;3.0834672451019287;0.004960992432;4.8065905e-05;0.007189844104347826;;
RandomForest;-20%;12;0.6466666666666666;0.6979591836734694;0.8423645320197044;0.7633928571428571;0.23947037037037044;0.59138692803819;0.07197070121765137;0.000103488127;1.002672e-06;0.00016003318608247424;;
LightGBM;-20%;12;0.6866666666666666;0.7120622568093385;0.9014778325123153;0.7956521739130434;0.2054506293513594;0.6649738459194556;0.02903890609741211;3.3133231e-05;3.2102e-07;4.825227815533981e-05;;
RNA;-20%;12;0.7166666666666667;0.7107142857142857;0.9802955665024631;0.8240165631469979;0.20928993821144104;0.6162206083997765;3.0407822132110596;0.004889914849;4.7377251e-05;0.006823136998604651;;
RandomForest;-30%;10;0.6733333333333333;0.7108433734939759;0.8719211822660099;0.7831858407079646;0.2338851851851852;0.6024325834137424;0.05576157569885254;7.4190253e-05;7.18812e-07;0.00011018354405940594;;
LightGBM;-30%;10;0.6766666666666666;0.7054263565891473;0.896551724137931;0.789587852494577;0.2062968761491005;0.661368137727896;0.029397249221801758;3.2722849e-05;3.17044e-07;4.835889014778325e-05;;
RNA;-30%;10;0.71;0.7086330935251799;0.9704433497536946;0.8191268191268192;0.20790189504623413;0.6236859478949774;3.002763032913208;0.004828452584;4.6781757e-05;0.006800637442253521;;
RandomForest;-40%;9;0.6866666666666666;0.7261410788381742;0.8620689655172413;0.7882882882882883;0.22860740740740737;0.5988522675333907;0.07419514656066895;0.000106999641;1.036695e-06;0.0001558247199029126;;
LightGBM;-40%;9;0.6766666666666666;0.7054263565891473;0.896551724137931;0.789587852494577;0.2062968761491005;0.661368137727896;0.024642467498779297;2.8047497e-05;2.71746e-07;4.144950295566503e-05;;
RNA;-40%;9;0.6933333333333334;0.7003610108303249;0.9556650246305419;0.8083333333333333;0.20924799144268036;0.6154080544411153;3.3214004039764404;0.005334664064;5.1686323e-05;0.007694227015384615;;
RandomForest;-50%;7;0.6766666666666666;0.7264957264957265;0.8374384236453202;0.7780320366132724;0.22472592592592597;0.652810928850744;0.044970035552978516;5.9829969e-05;5.79679e-07;8.841867339901479e-05;;
LightGBM;-50%;7;0.6733333333333333;0.7042801556420234;0.8916256157635468;0.7869565217391304;0.2044844802000391;0.6685795541110151;0.028821945190429688;3.5203986e-05;3.41083e-07;5.228314752475247e-05;;
RNA;-50%;7;0.6966666666666667;0.7043795620437956;0.9507389162561576;0.8092243186582809;0.20788627862930298;0.6303895180539334;3.1780314445495605;0.005107298722;4.9483433e-05;0.007331050797129187;;
